code_commune,nom_commune,code_departement,nom_departement,nom_region,latitude,longitude,image_1,image_2,image_3,image_4
35145,Langon,35,Ille-et-Vilaine,Bretagne,47.741169077938395,-1.8769081832529515,images\image_673_heading_0.jpg,images\image_673_heading_1.jpg,images\image_673_heading_2.jpg,images\image_673_heading_3.jpg
35088,Corps-Nuds,35,Ille-et-Vilaine,Bretagne,47.98540315227995,-1.5812538690518638,images\image_674_heading_0.jpg,images\image_674_heading_1.jpg,images\image_674_heading_2.jpg,images\image_674_heading_3.jpg
35215,Parigné,35,Ille-et-Vilaine,Bretagne,48.4500268658711,-1.1849049875868682,images\image_675_heading_0.jpg,images\image_675_heading_1.jpg,images\image_675_heading_2.jpg,images\image_675_heading_3.jpg
35206,Noyal-Châtillon-sur-Seiche,35,Ille-et-Vilaine,Bretagne,48.03414434588729,-1.6676898808204865,images\image_676_heading_0.jpg,images\image_676_heading_1.jpg,images\image_676_heading_2.jpg,images\image_676_heading_3.jpg
35219,Pipriac,35,Ille-et-Vilaine,Bretagne,47.82068833335761,-1.9539637166246404,images\image_677_heading_0.jpg,images\image_677_heading_1.jpg,images\image_677_heading_2.jpg,images\image_677_heading_3.jpg
35051,Cesson-Sévigné,35,Ille-et-Vilaine,Bretagne,48.10835638696826,-1.6002082729714444,images\image_679_heading_0.jpg,images\image_679_heading_1.jpg,images\image_679_heading_2.jpg,images\image_679_heading_3.jpg
36186,Saint-Christophe-en-Boucherie,36,Indre,Centre-Val de Loire,46.68104321050808,2.1270603246174895,images\image_680_heading_0.jpg,images\image_680_heading_1.jpg,images\image_680_heading_2.jpg,images\image_680_heading_3.jpg
36088,Issoudun,36,Indre,Centre-Val de Loire,46.96315711992731,2.002700394198808,images\image_681_heading_0.jpg,images\image_681_heading_1.jpg,images\image_681_heading_2.jpg,images\image_681_heading_3.jpg
36047,La Châtre-Langlin,36,Indre,Centre-Val de Loire,46.431608045682786,1.389239406942016,images\image_682_heading_0.jpg,images\image_682_heading_1.jpg,images\image_682_heading_2.jpg,images\image_682_heading_3.jpg
36047,La Châtre-Langlin,36,Indre,Centre-Val de Loire,46.38681020631936,1.395860740821912,images\image_683_heading_0.jpg,images\image_683_heading_1.jpg,images\image_683_heading_2.jpg,images\image_683_heading_3.jpg
36199,Sainte-Lizaigne,36,Indre,Centre-Val de Loire,46.99930422918991,1.997547562977893,images\image_684_heading_0.jpg,images\image_684_heading_1.jpg,images\image_684_heading_2.jpg,images\image_684_heading_3.jpg
36088,Issoudun,36,Indre,Centre-Val de Loire,46.954590344479065,2.0050002733847228,images\image_685_heading_0.jpg,images\image_685_heading_1.jpg,images\image_685_heading_2.jpg,images\image_685_heading_3.jpg
36123,Mézières-en-Brenne,36,Indre,Centre-Val de Loire,46.82464563462388,1.2425128999212867,images\image_686_heading_0.jpg,images\image_686_heading_1.jpg,images\image_686_heading_2.jpg,images\image_686_heading_3.jpg
